year,month,state,totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,Real GDP,GDP per capita,Urban
2021,8,Kansas,16276,2917224,5.579276737,0,1,0,163607.85,56083,74.2
2021,8,Kentucky,375270,4480713,83.75229567,0,1,0,194512.6,43411,58.4
2021,8,Louisiana,25498,4627002,5.510695695,0,1,0,227710.1,49213,73.2
2021,8,Maine,9094,1354522,6.713807528,1,1,0,60665.6,44787,38.7
2021,8,Maryland,19019,6065436,3.135636086,1,1,0,369172.5,60865,87.2
2021,8,Massachusetts,20836,6912239,3.014363363,1,1,0,519324.4,75131,92
2021,8,Michigan,67496,9992427,6.754715346,1,1,0,465141.5,46549,74.6
2021,8,Minnesota,75595,5706398,13.24741106,1,1,0,341361.15,59821,73.3
2021,8,Mississippi,23812,2966407,8.027219461,0,1,0,103299.35,34823,49.4
2021,8,Missouri,42099,6169038,6.824240668,0,1,0,294931.35,47808,70.4
2021,8,Montana,11364,1085004,10.47369411,0,1,0,48327.75,44542,55.9
2021,8,Nebraska,6598,1951996,3.380129877,0,1,0,124375.05,63717,73.1
2021,8,Nevada,15001,3185786,4.708728082,1,1,0,151285.3,47488,94.2
2021,8,New Hampshire,10786,1372203,7.860353024,1,1,0,78298.9,57061,60.3
2021,8,New Jersey,16100,8874520,1.814182626,1,1,0,561176.95,63235,94.7
2021,8,New Mexico,14287,2105005,6.787157275,1,1,0,95059.6,45159,77.4
2021,8,New York,34819,19299981,1.80409504,1,1,0,1496223,77525,87.9
2021,8,North Carolina,53133,10701022,4.965226686,0,1,0,526401.05,49192,66.1
2021,8,North Dakota,6074,770026,7.888045339,0,1,0,57518,74696,59.9
2021,8,Ohio,57745,11714618,4.929311395,0,1,0,612962.15,52325,77.9
2021,8,Oklahoma,27611,3990443,6.919281894,0,1,0,195574.8,49011,66.2
2021,8,Oregon,33854,4289439,7.892407375,1,1,0,222068.8,51771,81
2021,8,Pennsylvania,103036,12804123,8.047095455,1,1,0,708962.25,55370,78.7
2021,8,Rhode Island,2326,1061509,2.191220235,1,1,0,52693.15,49640,90.7
2021,8,South Carolina,35795,5277830,6.782143419,0,1,0,217845.35,41276,66.3
2021,8,South Dakota,7440,896581,8.298190571,0,1,0,48614.8,54222,56.7
2021,8,Tennessee,68672,6944260,9.889030653,0,1,0,338463.45,48740,66.4
2021,8,Texas,144254,29730311,4.852085133,0,1,0,1806783.6,60772,84.7
2021,8,Utah,95834,3310774,28.94610143,0,1,0,177030.8,53471,90.6
2021,8,Vermont,3650,623251,5.856388518,1,1,0,29606.95,47504,38.9
2021,8,Virginia,45911,8603985,5.336015811,1,1,0,488405.65,56765,75.5
2021,8,Washington,53524,7796941,6.864743494,1,1,0,560688.95,71911,84.1
2021,8,West Virginia,14672,1767859,8.299304413,0,1,0,71983.5,40718,48.7
2021,8,Wisconsin,64208,5852490,10.97105676,1,1,0,301100.45,51448,70.2
2021,8,Wyoming,5871,581075,10.10368713,0,1,0,36911.6,63523,64.8
2021,7,Alabama,66051,4934193,13.38638355,0,1,0,202949.95,41131,59
2021,7,Alaska,6620,724357,9.139139954,0,1,0,50138.25,69218,66
2021,7,Arizona,38125,7520103,5.06974439,1,1,0,329102.8,43763,89.8
2021,7,Arkansas,18454,3033946,6.082507731,0,1,0,120292.75,39649,56.2
2021,7,California,116701,39613493,2.945991155,1,1,0,2805217.85,70815,95
2021,7,Colorado,44778,5893634,7.597689303,1,1,0,361588.85,61352,86.2
2021,7,Connecticut,16773,3552821,4.72103717,1,1,0,244053,68693,88
2021,7,Delaware,5141,990334,5.191177926,1,1,0,63333.25,63951,83.3
2021,7,District of Columbia,1059,714153,1.482875518,1,1,0,124934.95,174941,100
2021,7,Florida,125688,21944577,5.727519833,0,1,0,986239.5,44942,91.2
2021,7,Georgia,57185,10830007,5.280236661,1,1,0,559703.8,51681,75.1
2021,7,Hawaii,1135,1406430,0.807007814,1,1,0,73506.55,52265,91.9
2021,7,Idaho,19461,1860123,10.46221137,0,1,0,76433.4,41091,70.6
2021,7,Illinois,656778,12569321,52.25246455,1,1,0,774004.05,61579,88.5
2021,7,Indiana,106359,6805663,15.62801449,0,1,0,349137.95,51301,72.4
2021,7,Iowa,20275,3167974,6.399989394,0,1,0,180862.9,57091,64
2021,7,Kansas,15630,2917224,5.357833337,0,1,0,163607.85,56083,74.2
2021,7,Kentucky,332946,4480713,74.30647756,0,1,0,194512.6,43411,58.4
2021,7,Louisiana,29811,4627002,6.442832746,0,1,0,227710.1,49213,73.2
2021,7,Maine,8988,1354522,6.635551139,1,1,0,60665.6,44787,38.7
2021,7,Maryland,18623,6065436,3.070348117,1,1,0,369172.5,60865,87.2
2021,7,Massachusetts,20756,6912239,3.002789689,1,1,0,519324.4,75131,92
2021,7,Michigan,64503,9992427,6.455188514,1,1,0,465141.5,46549,74.6
2021,7,Minnesota,66916,5706398,11.72648666,1,1,0,341361.15,59821,73.3
2021,7,Mississippi,20536,2966407,6.922853135,0,1,0,103299.35,34823,49.4
2021,7,Missouri,42119,6169038,6.827482664,0,1,0,294931.35,47808,70.4
2021,7,Montana,10260,1085004,9.456186337,0,1,0,48327.75,44542,55.9
2021,7,Nebraska,6213,1951996,3.182895867,0,1,0,124375.05,63717,73.1
2021,7,Nevada,13659,3185786,4.287481959,1,1,0,151285.3,47488,94.2
2021,7,New Hampshire,10441,1372203,7.608932498,1,1,0,78298.9,57061,60.3
2021,7,New Jersey,15550,8874520,1.752207443,1,1,0,561176.95,63235,94.7
2021,7,New Mexico,13935,2105005,6.61993677,1,1,0,95059.6,45159,77.4
2021,7,New York,33235,19299981,1.722022421,1,1,0,1496223,77525,87.9
2021,7,North Carolina,56487,10701022,5.278654693,0,1,0,526401.05,49192,66.1
2021,7,North Dakota,5435,770026,7.05820323,0,1,0,57518,74696,59.9
2021,7,Ohio,58041,11714618,4.954578971,0,1,0,612962.15,52325,77.9
2021,7,Oklahoma,28287,3990443,7.088686645,0,1,0,195574.8,49011,66.2
2021,7,Oregon,30975,4289439,7.221224034,1,1,0,222068.8,51771,81
2021,7,Pennsylvania,99708,12804123,7.787179177,1,1,0,708962.25,55370,78.7
2021,7,Rhode Island,2408,1061509,2.268468755,1,1,0,52693.15,49640,90.7
2021,7,South Carolina,34420,5277830,6.521619681,0,1,0,217845.35,41276,66.3
2021,7,South Dakota,6744,896581,7.521908227,0,1,0,48614.8,54222,56.7
2021,7,Tennessee,89125,6944260,12.83434088,0,1,0,338463.45,48740,66.4
2021,7,Texas,135551,29730311,4.559353584,0,1,0,1806783.6,60772,84.7
2021,7,Utah,101228,3310774,30.5753277,0,1,0,177030.8,53471,90.6
2021,7,Vermont,3662,623251,5.875642398,1,1,0,29606.95,47504,38.9
2021,7,Virginia,45531,8603985,5.29185023,1,1,0,488405.65,56765,75.5
2021,7,Washington,50887,7796941,6.526533932,1,1,0,560688.95,71911,84.1
2021,7,West Virginia,14625,1767859,8.272718582,0,1,0,71983.5,40718,48.7
2021,7,Wisconsin,59969,5852490,10.24674967,1,1,0,301100.45,51448,70.2
2021,7,Wyoming,5706,581075,9.819730672,0,1,0,36911.6,63523,64.8
2021,6,Alabama,72284,4934193,14.64960937,0,1,0,202949.95,41131,59
2021,6,Alaska,6415,724357,8.856130334,0,1,0,50138.25,69218,66
2021,6,Arizona,38539,7520103,5.124796828,1,1,0,329102.8,43763,89.8
2021,6,Arkansas,21231,3033946,6.997817364,0,1,0,120292.75,39649,56.2
2021,6,California,125609,39613493,3.170864029,1,1,0,2805217.85,70815,95
2021,6,Colorado,44970,5893634,7.630266827,1,1,0,361588.85,61352,86.2
2021,6,Connecticut,25840,3552821,7.273093691,1,1,0,244053,68693,88
2021,6,Delaware,5009,990334,5.05788956,1,1,0,63333.25,63951,83.3
2021,6,District of Columbia,976,714153,1.366653924,1,1,0,124934.95,174941,100
2021,6,Florida,129351,21944577,5.894440344,0,1,0,986239.5,44942,91.2
2021,6,Georgia,60489,10830007,5.585314949,1,1,0,559703.8,51681,75.1
2021,6,Hawaii,1319,1406430,0.937835513,1,1,0,73506.55,52265,91.9
2021,6,Idaho,18741,1860123,10.07514019,0,1,0,76433.4,41091,70.6
2021,6,Illinois,764884,12569321,60.85324736,1,1,0,774004.05,61579,88.5
2021,6,Indiana,120670,6805663,17.73082211,0,1,0,349137.95,51301,72.4
2021,6,Iowa,16152,3167974,5.098526692,0,1,0,180862.9,57091,64
2021,6,Kansas,15021,2917224,5.149073229,0,1,0,163607.85,56083,74.2
2021,6,Kentucky,323280,4480713,72.14923161,0,1,0,194512.6,43411,58.4
2021,6,Louisiana,31317,4627002,6.768313478,0,1,0,227710.1,49213,73.2
2021,6,Maine,8012,1354522,5.91500175,1,1,0,60665.6,44787,38.7
2021,6,Maryland,19155,6065436,3.158058217,1,1,0,369172.5,60865,87.2
2021,6,Massachusetts,18490,6912239,2.674965377,1,1,0,519324.4,75131,92
2021,6,Michigan,67663,9992427,6.771428002,1,1,0,465141.5,46549,74.6
2021,6,Minnesota,64977,5706398,11.38669262,1,1,0,341361.15,59821,73.3
2021,6,Mississippi,21165,2966407,7.134894167,0,1,0,103299.35,34823,49.4
2021,6,Missouri,42011,6169038,6.809975883,0,1,0,294931.35,47808,70.4
2021,6,Montana,10195,1085004,9.396278723,0,1,0,48327.75,44542,55.9
2021,6,Nebraska,5385,1951996,2.758714669,0,1,0,124375.05,63717,73.1
2021,6,Nevada,14049,3185786,4.409900728,1,1,0,151285.3,47488,94.2
2021,6,New Hampshire,9633,1372203,7.020098338,1,1,0,78298.9,57061,60.3
2021,6,New Jersey,17559,8874520,1.978585884,1,1,0,561176.95,63235,94.7
2021,6,New Mexico,13679,2105005,6.498321857,1,1,0,95059.6,45159,77.4
2021,6,New York,33448,19299981,1.733058701,1,1,0,1496223,77525,87.9
2021,6,North Carolina,59187,10701022,5.530967042,0,1,0,526401.05,49192,66.1
2021,6,North Dakota,5350,770026,6.947817346,0,1,0,57518,74696,59.9
2021,6,Ohio,60907,11714618,5.199230568,0,1,0,612962.15,52325,77.9
2021,6,Oklahoma,27597,3990443,6.915773512,0,1,0,195574.8,49011,66.2
2021,6,Oregon,33011,4289439,7.695878179,1,1,0,222068.8,51771,81
2021,6,Pennsylvania,100422,12804123,7.842942465,1,1,0,708962.25,55370,78.7
2021,6,Rhode Island,2427,1061509,2.286367803,1,1,0,52693.15,49640,90.7
2021,6,South Carolina,36050,5277830,6.83045873,0,1,0,217845.35,41276,66.3
2021,6,South Dakota,5973,896581,6.661974769,0,1,0,48614.8,54222,56.7
