Year,state,Totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,MSpM,Real GDP,GDP per capita,Urban
2019,New Hampshire,112173,1359711,82.5,1,0,0,0,77126.5,56723,60.3
2019,New Jersey,91257,8882190,10.27,1,0,2,0.225169694,561842.8,63255,94.7
2019,New Mexico,156829,2096829,74.79,1,0,0,0,94872.3,45246,77.4
2019,New York,355374,19453561,18.27,1,0,0,0,1494736.4,76836,87.9
2019,North Carolina,530365,10488084,50.57,0,0,0,0,514624.9,49068,66.1
2019,North Dakota,60389,762062,79.24,0,0,0,0,56247,73809,59.9
2019,Ohio,638495,11689100,54.62,0,0,1,0.085549786,611145.8,52283,77.9
2019,Oklahoma,360043,3956971,90.99,0,0,0,0,200710.9,50723,66.2
2019,Oregon,357700,4217737,84.81,1,0,0,0,219458.2,52032,81
2019,Pennsylvania,987886,12801989,77.17,0,0,0,0,716173.4,55942,78.7
2019,Rhode Island,24338,1059361,22.97,1,0,0,0,53225,50243,90.7
2019,South Carolina,328221,5148714,63.75,0,0,0,0,212482.8,41269,66.3
2019,South Dakota,85426,884659,96.56,0,0,0,0,46641,52722,56.7
2019,Tennessee,635313,6829174,93.03,0,0,0,0,329111.6,48192,66.4
2019,Texas,1487212,28995881,51.29,0,0,2,0.068975314,1785317.9,61571,84.7
2019,Utah,823270,3205958,256.79,0,0,0,0,171134.7,53380,90.6
2019,Vermont,35843,623989,57.44,1,0,0,0,29902.8,47922,38.9
2019,Virginia,512766,8535519,60.07,1,0,1,0.117157492,487251.6,57085,75.5
2019,Washington,607170,7614893,79.73,1,0,0,0,535980.5,70386,84.1
2019,West Virginia,206196,1792147,115.06,0,0,0,0,72542.9,40478,48.7
2019,Wisconsin,435685,5822434,74.83,0,0,0,0,303891.2,52193,70.2
2019,Wyoming,61291,578759,105.9,0,0,0,0,38628.4,66743,64.8
2018,Alabama,474294,4887681,97.04,0,0,0,0,200800.9,41083,59
2018,Alaska,78761,735139,107.14,0,0,0,0,53249.6,72435,66
2018,Arizona,377838,7158024,52.79,0,0,0,0,313618.7,43814,89.8
2018,Arkansas,248439,3009733,82.55,0,0,0,0,115937.6,38521,56.2
2018,California,1297132,39461588,32.87,1,0,2,0.050682198,2643576.3,66991,95
2018,Colorado,524770,5691287,92.21,1,0,0,0,342535.9,60186,86.2
2018,Connecticut,177690,3571520,49.75,1,0,0,0,249998.1,69998,88
2018,Delaware,47723,965479,49.43,1,0,0,0,61735.1,63942,83.3
2018,District of Columbia,3244,701547,4.62,1,0,0,0,123836.1,176519,100
2018,Florida,1203145,21244317,56.63,0,0,1,0.047071412,943463.4,44410,91.2
2018,Georgia,549532,10511131,52.28,0,0,0,0,539300.3,51308,75.1
2018,Hawaii,14088,1420593,9.92,1,0,0,0,79854.7,56212,91.9
2018,Idaho,207320,1750536,118.43,0,0,0,0,71075.4,40602,70.6
2018,Illinois,2831447,12723071,222.54,1,0,0,0,774065,60839,88.5
2018,Indiana,896148,6695497,133.84,0,0,0,0,337149.6,50355,72.4
